candidate_probability,market_score,session,market_regime,volatility_bucket,direction,memory_confidence,memory_pf,memory_matches,is_win
0.5545981,86.9436956411167,1,0,0,0,0.0,0.0,0.0,1
0.5987154,85.92635212888375,1,0,0,0,0.0,0.0,0.0,1
0.5338316,89.17040683364688,0,3,0,0,0.0,0.0,0.0,0
0.54725146,96.80149860299744,2,0,0,0,0.0,0.0,0.0,1
0.5391317,87.96462585034118,1,0,0,0,0.0,0.0,0.0,0
0.5391317,88.05267629566663,1,0,0,0,0.0,0.0,0.0,0
0.5399958,87.68384599714773,1,0,0,0,0.0,0.0,0.0,1
0.5322035,92.22194294332157,1,0,0,0,0.0,0.0,0.0,0
0.5249364,87.00517623860017,1,0,0,0,0.0,0.0,0.0,0
0.52061945,87.20724048762523,1,0,0,0,0.0,0.0,0.0,0
0.5924586,86.7653774796633,1,2,0,0,0.0,0.0,0.0,1
0.5280493,85.04606788325472,2,0,0,0,0.0,0.0,0.0,1
0.60503745,98.49094917614262,1,3,0,0,0.0,0.0,0.0,1
0.62152493,89.43981963232767,1,3,0,0,0.0,0.0,0.0,0
0.5653874,95.96508980521072,1,3,0,0,0.0,0.0,0.0,1
0.55031985,97.65326633165895,1,0,0,0,0.0,0.0,0.0,1
0.7113387,88.95201055628831,1,3,0,0,0.0,0.0,0.0,0
0.7022742,89.16307012395126,1,3,0,0,0.0,0.0,0.0,0
0.60815406,88.8150279567079,1,3,0,0,0.0,0.0,0.0,1
0.6014434,88.08520808106587,1,3,0,0,0.0,0.0,0.0,1
